,COURSE,A%,B%
829,CJUS-X 371,,
830,CJUS-X 477,98.78,1.23
831,CJUS-X 490,,
832,CJUS-X 498,,
833,CLAS-C 101,39.06,35.17
834,CLAS-C 102,28.83,37.93
835,CLAS-C 205,37.64,34.53
836,CLAS-C 206,41.05,36.14
837,CLAS-C 209,70.18,22.05
838,CLAS-C 211,47.55,36.05
839,CLAS-C 310,57.1,34.41
840,CLAS-C 311,55.83,31.46
841,CLAS-C 399,,
842,CLAS-C 414,73.28,23.95
843,CLAS-C 420,51.43,39.17
844,CLAS-C 494,64.52,30.42
845,CLAS-C 499,,
846,CLAS-C 500,,
847,CLAS-C 503,,
848,CLAS-C 875,88.9,11.1
849,CLAS-C 880,,
850,CLAS-G 100,51.16,24.9
851,CLAS-G 200,57.12,36.52
852,CLAS-G 407,72.5,27.5
853,CLAS-G 500,83.33,16.67
854,CLAS-G 510,89.63,10.37
855,CLAS-G 600,66.08,31.08
856,CLAS-G 803,81.3,18.7
857,CLAS-G 901,,
858,CLAS-L 100,40.58,31.88
859,CLAS-L 150,44.28,31.42
860,CLAS-L 200,48.73,29.58
861,CLAS-L 250,45.35,34.95
862,CLAS-L 300,87.04,11.3
863,CLAS-L 308,51.85,39.27
864,CLAS-L 430,,
865,CLAS-L 536,89.52,10.48
866,CLAS-L 540,81.8,18.2
867,CLAS-L 803,42.9,42.9
868,CLAS-X 371,,
869,CLAS-X 473,,
870,CLAS-X 476,,
871,CLAS-X 490,,
872,CLAS-X 491,,
873,CLAS-X 492,,
874,CLLC-L 100,75.56,16.59
875,CLLC-L 110,59.78,26.96
876,CLLC-L 120,65.68,21.42
877,CLLC-L 130,55.3,34.15
878,CLLC-L 210,62.71,27.34
879,CLLC-L 220,70.16,22.16
880,CLLC-L 300,80.0,10.0
881,CLLC-Q 199,84.37,8.35
882,CLLC-X 273,,
883,CLLC-X 490,,
884,CMCL-C 810,100.0,0.0
885,CMCL-G 901,,
886,CMLT-C 110,35.05,35.15
887,CMLT-C 111,41.33,35.4
888,CMLT-C 147,52.31,36.99
889,CMLT-C 151,45.72,39.09
890,CMLT-C 200,72.88,24.19
891,CMLT-C 205,47.31,34.72
892,CMLT-C 216,45.47,35.82
893,CMLT-C 251,33.8,55.12
894,CMLT-C 262,45.05,39.05
895,CMLT-C 301,45.27,33.82
896,CMLT-C 311,46.23,37.6
897,CMLT-C 321,58.97,35.48
898,CMLT-C 335,45.83,46.6
899,CMLT-C 340,53.9,38.9
900,CMLT-C 343,44.4,44.4
901,CMLT-C 345,36.35,29.15
902,CMLT-C 347,45.98,32.46
903,CMLT-C 377,28.83,49.8
904,CMLT-C 457,39.9,60.1
905,CMLT-C 499,,
906,CMLT-C 501,94.8,5.2
907,CMLT-C 502,100.0,0.0
908,CMLT-C 508,100.0,0.0
909,CMLT-C 509,,
910,CMLT-C 511,83.3,16.7
911,CMLT-C 523,100.0,0.0
912,CMLT-C 525,,
913,CMLT-C 535,83.33,16.67
914,CMLT-C 572,,
915,CMLT-C 581,88.92,9.62
916,CMLT-C 602,69.15,30.85
917,CMLT-C 603,94.43,5.57
918,CMLT-C 604,96.66,2.09
919,CMLT-C 801,,
920,CMLT-C 805,,
921,CMLT-C 810,,
922,CMLT-G 599,,
923,CMLT-G 901,,
924,CMLT-X 490,,
925,CMLT-X 491,,
926,COGS-G 901,,
927,COGS-Q 101,32.16,39.84
928,COGS-Q 240,47.3,33.02
929,COGS-Q 260,62.71,23.06
930,COGS-Q 301,,
931,COGS-Q 330,16.7,33.3
932,COGS-Q 350,68.64,19.3
933,COGS-Q 351,25.0,58.35
934,COGS-Q 370,61.3,20.72
935,COGS-Q 450,100.0,0.0
936,COGS-Q 499,,
937,COGS-Q 510,100.0,0.0
938,COGS-Q 590,100.0,0.0
939,COGS-Q 651,,
940,COGS-Q 700,86.38,11.32
941,COGS-Q 733,,
942,COGS-Q 799,97.78,2.22
943,COGS-Q 899,,
944,COGS-X 373,,
945,COGS-X 490,,
946,COGS-X 497,100.0,0.0
947,COGS-X 498,,
948,COLL-C 101,,
949,COLL-C 103,57.79,28.09
950,COLL-C 104,44.78,35.05
951,COLL-C 105,35.03,36.89
952,COLL-C 222,,
953,COLL-F 200,,
954,COLL-G 123,69.08,16.99
955,COLL-G 133,67.68,20.54
956,COLL-P 155,42.61,35.72
957,COLL-R 200,,
958,COLL-R 300,,
959,COLL-S 103,87.73,11.73
960,COLL-S 104,78.91,19.21
961,COLL-S 105,65.56,29.06
962,COLL-T 299,,
963,COLL-X 112,49.13,37.09
964,COLL-X 211,77.3,8.9
965,COLL-X 250,,
966,COLL-X 294,,
967,COLL-X 490,,
968,CSCI-A 110,51.35,27.87
969,CSCI-A 201,54.41,23.12
970,CSCI-A 202,66.06,20.48
971,CSCI-A 216,26.79,42.03
972,CSCI-A 290,62.11,21.97
973,CSCI-A 338,20.39,49.13
974,CSCI-A 538,85.7,14.3
975,CSCI-A 541,84.6,15.4
976,CSCI-A 590,100.0,0.0
977,CSCI-A 591,,
978,CSCI-A 592,,
979,CSCI-A 593,,
980,CSCI-A 594,33.3,50.0
981,CSCI-A 596,,
982,CSCI-A 597,71.45,28.55
983,CSCI-B 351,37.99,34.74
984,CSCI-B 363,32.73,49.27
985,CSCI-B 365,34.12,37.58
986,CSCI-B 392,73.2,14.3
987,CSCI-B 401,34.11,34.65
988,CSCI-B 403,36.39,34.11
989,CSCI-B 430,47.4,35.9
990,CSCI-B 443,60.65,25.94
991,CSCI-B 461,33.43,43.03
992,CSCI-B 490,62.05,21.54
993,CSCI-B 501,52.01,39.17
994,CSCI-B 503,39.6,49.56
995,CSCI-B 504,50.0,50.0
996,CSCI-B 505,50.27,41.68
997,CSCI-B 510,49.37,40.5
998,CSCI-B 521,70.54,26.0
999,CSCI-B 544,59.3,40.7
1000,CSCI-B 546,100.0,0.0
1001,CSCI-B 551,65.32,28.14
1002,CSCI-B 555,42.66,44.86
1003,CSCI-B 561,46.88,45.66
1004,CSCI-B 565,60.64,33.74
1005,CSCI-B 609,70.49,23.65
1006,CSCI-B 649,76.43,20.31
1007,CSCI-B 659,80.95,17.4
1008,CSCI-C 102,52.32,31.73
1009,CSCI-C 200,49.86,34.38
1010,CSCI-C 211,34.78,32.43
1011,CSCI-C 212,51.36,27.15
1012,CSCI-C 231,54.25,25.55
1013,CSCI-C 241,29.86,33.87
1014,CSCI-C 291,53.72,24.5
1015,CSCI-C 292,,
1016,CSCI-C 311,42.74,35.91
1017,CSCI-C 322,56.39,31.5
1018,CSCI-C 323,45.9,21.6
1019,CSCI-C 335,34.23,38.01
1020,CSCI-C 343,36.19,30.17
1021,CSCI-G 901,91.67,8.33
1022,CSCI-H 200,,
1023,CSCI-H 211,71.46,21.09
1024,CSCI-H 311,84.73,15.27
1025,CSCI-H 343,70.66,21.64
1026,CSCI-P 423,56.28,27.6
1027,CSCI-P 438,37.24,39.01
1028,CSCI-P 465,60.27,28.6
1029,CSCI-P 523,72.65,21.05
1030,CSCI-P 532,69.01,29.5
1031,CSCI-P 535,82.44,17.06
1032,CSCI-P 538,56.7,30.53
1033,CSCI-P 556,50.5,41.6
1034,CSCI-P 565,84.06,15.64
1035,CSCI-P 573,77.99,14.61
1036,CSCI-Y 390,92.81,5.4
1037,CSCI-Y 391,,
1038,CSCI-Y 395,83.83,10.16
1039,CSCI-Y 399,90.0,5.0
1040,CSCI-Y 499,,
1041,CSCI-Y 790,97.92,2.08
1042,CSCI-Y 791,,
1043,CSCI-Y 792,,
1044,CSCI-Y 793,,
1045,CSCI-Y 798,100.0,0.0
1046,CSCI-Y 799,97.14,0.0
1047,CSCI-Y 890,99.11,0.89
1048,CTIH-T 500,,
1049,CTIH-T 700,100.0,0.0
1050,CULS-C 601,95.82,2.09
1051,CULS-C 701,100.0,0.0
1052,CULS-C 790,,
1053,DSCI-D 590,100.0,0.0
1054,DSCI-D 591,100.0,0.0
1055,DSCI-D 699,,
1056,EALC-C 101,56.8,22.93
1057,EALC-C 201,53.05,39.1
1058,EALC-C 301,,
1059,EALC-C 306,52.92,39.26
1060,EALC-C 401,60.55,24.55
1061,EALC-C 425,,
1062,EALC-C 450,50.0,50.0
1063,EALC-C 457,61.52,33.72
1064,EALC-C 467,48.52,39.47
1065,EALC-C 506,95.23,4.77
1066,EALC-C 521,94.45,5.55
1067,EALC-C 525,87.66,12.34
1068,EALC-C 527,,
1069,EALC-C 533,75.67,24.33
1070,EALC-C 543,91.65,8.35
1071,EALC-C 550,,
1072,EALC-C 557,,
1073,EALC-C 567,,
1074,EALC-C 598,,
1075,EALC-C 701,,
1076,EALC-C 801,,
1077,EALC-E 100,36.99,39.07
1078,EALC-E 190,44.8,38.05
1079,EALC-E 201,49.53,36.22
1080,EALC-E 203,40.73,39.5
1081,EALC-E 204,50.03,36.65
1082,EALC-E 233,38.33,40.13
1083,EALC-E 300,44.71,38.44
1084,EALC-E 301,47.7,47.3
1085,EALC-E 310,58.42,29.18
1086,EALC-E 350,47.87,39.67
1087,EALC-E 353,30.4,52.2
1088,EALC-E 356,61.45,35.22
1089,EALC-E 392,40.0,35.0
1090,EALC-E 395,24.19,40.24
1091,EALC-E 496,,
1092,EALC-E 505,72.92,27.08
1093,EALC-E 595,100.0,0.0
1094,EALC-E 596,,
1095,EALC-E 597,,
1096,EALC-E 600,79.72,20.27
1097,EALC-E 700,,
1098,EALC-G 599,,
1099,EALC-G 901,,
1100,EALC-H 399,,
1101,EALC-H 499,,
1102,EALC-J 101,45.33,26.2
1103,EALC-J 110,41.58,37.75
1104,EALC-J 201,37.68,39.35
1105,EALC-J 301,38.21,41.08
1106,EALC-J 311,50.0,16.7
1107,EALC-J 401,48.41,33.61
1108,EALC-J 425,14.3,85.7
1109,EALC-J 525,,
1110,EALC-J 527,,
1111,EALC-J 533,,
1112,EALC-J 543,,
1113,EALC-J 598,,
1114,EALC-J 701,,
1115,EALC-J 801,,
1116,EALC-K 101,58.42,29.5
1117,EALC-K 201,55.49,38.23
1118,EALC-K 301,58.75,32.19
1119,EALC-K 401,28.6,57.1
1120,EALC-K 501,,
1121,EALC-X 490,,
1122,EAS-A 339,,
1123,EAS-A 340,,
1124,EAS-A 347,,
1125,EAS-E 104,41.3,30.4
1126,EAS-E 105,40.0,35.0
1127,EAS-E 114,15.2,35.4
1128,EAS-E 121,25.0,33.3
1129,EAS-E 144,30.0,47.0
1130,EAS-E 225,39.3,39.3
1131,EAS-E 227,59.1,31.8
1132,EAS-E 314,55.6,22.2
1133,EAS-E 316,30.0,40.0
1134,EAS-E 351,66.7,22.2
1135,EAS-E 415,,
1136,EAS-E 444,60.0,26.7
1137,EAS-E 454,,
1138,EAS-G 544,,
1139,EAS-G 554,,
1140,EAS-G 590,100.0,0.0
1141,EAS-G 633,,
1142,EAS-G 690,,
1143,EAS-G 810,,
1144,EAS-G 901,,
1145,ECON-E 115,59.2,31.3
1146,ECON-E 201,19.2,35.78
1147,ECON-E 202,18.9,34.19
1148,ECON-E 211,,
1149,ECON-E 303,24.26,39.08
1150,ECON-E 305,22.55,42.79
1151,ECON-E 309,41.65,44.45
1152,ECON-E 317,,
1153,ECON-E 321,22.56,30.48
1154,ECON-E 322,23.13,39.45
1155,ECON-E 327,41.75,31.81
1156,ECON-E 331,31.53,43.36
1157,ECON-E 337,19.37,27.96
1158,ECON-E 341,21.02,38.22
1159,ECON-E 361,27.05,35.86
1160,ECON-E 370,36.27,42.17
1161,ECON-E 371,24.98,26.73
1162,ECON-E 390,48.88,35.71
1163,ECON-E 392,63.47,28.67
1164,ECON-E 425,49.44,34.83
1165,ECON-E 427,58.23,28.7
1166,ECON-E 472,53.23,32.5
1167,ECON-E 499,,
1168,ECON-E 520,33.52,49.23
1169,ECON-E 521,51.13,43.98
1170,ECON-E 522,44.51,49.72
1171,ECON-E 530,86.86,13.14
1172,ECON-E 571,40.53,48.73
1173,ECON-E 626,87.16,12.85
1174,ECON-E 671,41.24,55.6
1175,ECON-E 672,66.67,30.47
1176,ECON-E 724,91.84,7.56
1177,ECON-E 730,,
1178,ECON-E 752,94.64,5.36
1179,ECON-E 800,,
1180,ECON-E 808,,
1181,ECON-E 809,,
1182,ECON-E 810,,
1183,ECON-E 824,85.7,14.3
1184,ECON-E 830,,
1185,ECON-E 840,,
1186,ECON-E 850,,
1187,ECON-E 860,,
1188,ECON-E 870,,
1189,ECON-E 880,,
1190,ECON-E 890,,
1191,ECON-G 599,,
1192,ECON-G 901,100.0,0.0
1193,ECON-M 502,,
1194,ECON-M 511,,
1195,ECON-M 514,,
1196,ECON-S 321,66.79,20.8
1197,ECON-S 370,50.35,38.42
1198,ECON-X 373,,
1199,ECON-X 398,,
1200,EDUC-A 308,53.68,40.12
1201,EDUC-A 500,94.64,4.26
1202,EDUC-A 508,,
1203,EDUC-A 510,93.37,6.45
1204,EDUC-A 515,95.81,3.37
1205,EDUC-A 590,88.34,11.66
1206,EDUC-A 600,87.22,12.78
1207,EDUC-A 608,92.11,6.93
1208,EDUC-A 624,95.2,3.89
1209,EDUC-A 629,98.33,1.21
1210,EDUC-A 635,86.48,12.88
1211,EDUC-A 675,87.21,9.03
1212,EDUC-A 695,87.5,10.0
1213,EDUC-A 720,97.63,2.37
1214,EDUC-A 799,,
1215,EDUC-BB 130,,
1216,EDUC-BB 330,,
1217,EDUC-BB 411,,
1218,EDUC-BB 501,,
1219,EDUC-BB 531,,
1220,EDUC-BC 325,,
1221,EDUC-BC 343,,
1222,EDUC-BC 348,,
1223,EDUC-BE 130,,
1224,EDUC-BE 207,,
1225,EDUC-BE 251,,
1226,EDUC-BE 254,,
1227,EDUC-BE 328,,
1228,EDUC-BE 339,,
1229,EDUC-BE 343,,
1230,EDUC-BE 344,,
1231,EDUC-BE 445,,
1232,EDUC-BE 456,,
1233,EDUC-BE 502,,
1234,EDUC-BE 520,,
1235,EDUC-BE 531,,
1236,EDUC-BE 533,,
1237,EDUC-BE 603,,
1238,EDUC-BE 604,,
1239,EDUC-BE 613,,
1240,EDUC-BG 416,,
1241,EDUC-BG 421,,
1242,EDUC-BG 422,,
1243,EDUC-BG 446,,
1244,EDUC-BK 328,,
1245,EDUC-BK 340,,
1246,EDUC-BK 420,,
1247,EDUC-BK 427,,
1248,EDUC-BP 480,,
1249,EDUC-C 565,89.09,10.01
1250,EDUC-C 620,97.9,2.11
1251,EDUC-C 654,82.79,17.21
1252,EDUC-C 675,98.08,0.96
1253,EDUC-C 678,91.88,8.12
1254,EDUC-C 690,100.0,0.0
1255,EDUC-C 705,86.3,13.7
1256,EDUC-C 747,,
1257,EDUC-C 750,88.1,11.07
1258,EDUC-C 760,,
1259,EDUC-C 788,92.55,6.56
1260,EDUC-C 790,100.0,0.0
1261,EDUC-C 799,,
1262,EDUC-D 505,93.45,2.23
1263,EDUC-D 512,69.94,25.66
1264,EDUC-D 521,98.86,0.0
1265,EDUC-D 524,93.26,5.08
1266,EDUC-D 550,,
1267,EDUC-D 590,,
1268,EDUC-D 600,95.82,4.18
1269,EDUC-D 640,96.38,3.62
1270,EDUC-D 650,,
1271,EDUC-D 660,,
1272,EDUC-E 300,73.8,18.52
1273,EDUC-E 325,70.9,23.35
1274,EDUC-E 328,83.05,15.27
1275,EDUC-E 336,75.0,24.17
1276,EDUC-E 339,88.18,10.63
1277,EDUC-E 340,90.03,8.39
1278,EDUC-E 341,86.92,11.93
1279,EDUC-E 343,72.58,25.36
1280,EDUC-E 348,78.78,20.51
1281,EDUC-E 349,81.24,18.76
1282,EDUC-E 353,82.08,17.13
1283,EDUC-E 490,100.0,0.0
1284,EDUC-E 506,92.78,7.22
1285,EDUC-E 548,97.64,2.36
1286,EDUC-E 590,,
1287,EDUC-E 599,,
1288,EDUC-E 690,,
1289,EDUC-F 203,33.38,45.56
1290,EDUC-F 204,,
1291,EDUC-F 401,86.0,11.59
1292,EDUC-F 500,97.69,1.24
1293,EDUC-G 203,77.84,15.93
1294,EDUC-G 204,,
1295,EDUC-G 206,72.79,17.58
1296,EDUC-G 207,78.6,15.92
1297,EDUC-G 208,57.27,32.66
1298,EDUC-G 302,80.45,14.55
1299,EDUC-G 310,61.5,34.6
1300,EDUC-G 352,86.17,9.8
1301,EDUC-G 355,63.51,23.16
1302,EDUC-G 375,81.82,13.55
1303,EDUC-G 502,93.09,6.68
1304,EDUC-G 505,78.04,20.93
1305,EDUC-G 510,87.31,12.35
1306,EDUC-G 522,95.34,4.51
1307,EDUC-G 523,96.17,3.6
1308,EDUC-G 550,99.86,0.14
1309,EDUC-G 563,91.95,7.54
1310,EDUC-G 590,,
1311,EDUC-G 599,,
1312,EDUC-G 600,98.13,1.87
1313,EDUC-G 622,96.15,3.85
1314,EDUC-G 624,96.45,3.21
1315,EDUC-G 625,100.0,0.0
1316,EDUC-G 647,99.52,0.48
1317,EDUC-G 650,99.29,0.71
1318,EDUC-G 656,97.22,2.78
1319,EDUC-G 690,,
1320,EDUC-G 699,,
1321,EDUC-G 763,100.0,0.0
1322,EDUC-G 795,,
1323,EDUC-G 799,,
1324,EDUC-G 901,100.0,0.0
1325,EDUC-H 205,63.16,30.78
1326,EDUC-H 340,58.94,30.18
1327,EDUC-H 427,,
1328,EDUC-H 504,77.82,21.1
1329,EDUC-H 510,97.33,1.82
1330,EDUC-H 525,89.4,9.56
1331,EDUC-H 552,89.12,9.96
1332,EDUC-H 553,,
1333,EDUC-H 590,100.0,0.0
1334,EDUC-H 599,,
1335,EDUC-H 605,100.0,0.0
1336,EDUC-H 620,85.72,13.08
1337,EDUC-H 637,89.97,10.04
1338,EDUC-H 795,100.0,0.0
1339,EDUC-H 799,,
1340,EDUC-J 500,89.75,9.56
1341,EDUC-J 538,,
1342,EDUC-J 602,98.61,1.39
1343,EDUC-J 605,,
1344,EDUC-J 650,,
1345,EDUC-J 660,100.0,0.0
1346,EDUC-J 670,77.37,22.63
1347,EDUC-J 690,,
1348,EDUC-J 700,98.96,1.04
1349,EDUC-J 705,90.98,8.33
1350,EDUC-J 760,91.09,8.91
1351,EDUC-J 762,96.44,3.56
1352,EDUC-J 795,,
1353,EDUC-J 799,,
1354,EDUC-K 205,50.31,33.1
1355,EDUC-K 207,93.75,6.25
1356,EDUC-K 305,74.28,23.08
1357,EDUC-K 306,60.97,31.36
1358,EDUC-K 344,82.16,16.33
1359,EDUC-K 352,86.73,12.22
1360,EDUC-K 361,84.5,14.03
1361,EDUC-K 362,92.62,6.57
1362,EDUC-K 405,91.22,5.68
1363,EDUC-K 480,,
1364,EDUC-K 488,,
1365,EDUC-K 490,,
1366,EDUC-K 500,,
1367,EDUC-K 505,87.7,10.23
1368,EDUC-K 510,79.95,15.65
1369,EDUC-K 536,86.08,8.92
1370,EDUC-K 565,80.24,14.49
1371,EDUC-K 590,70.84,19.8
1372,EDUC-K 599,,
1373,EDUC-K 601,100.0,0.0
1374,EDUC-K 631,54.48,41.98
1375,EDUC-K 634,,
1376,EDUC-K 780,88.2,10.2
1377,EDUC-K 785,50.0,33.3
1378,EDUC-K 795,,
1379,EDUC-K 799,,
1380,EDUC-L 239,81.92,10.6
1381,EDUC-L 407,88.67,8.51
1382,EDUC-L 408,90.59,5.79
1383,EDUC-L 409,85.06,12.29
1384,EDUC-L 490,100.0,0.0
1385,EDUC-L 500,90.7,6.95
1386,EDUC-L 502,95.27,2.83
1387,EDUC-L 507,97.2,2.8
1388,EDUC-L 508,,
1389,EDUC-L 509,100.0,0.0
1390,EDUC-L 516,95.91,4.09
1391,EDUC-L 517,88.53,7.94
1392,EDUC-L 520,85.58,12.29
1393,EDUC-L 539,92.85,5.49
1394,EDUC-L 540,90.96,7.05
1395,EDUC-L 543,90.22,9.78
1396,EDUC-L 545,94.13,5.29
1397,EDUC-L 600,98.58,1.04
1398,EDUC-L 601,98.81,1.19
1399,EDUC-L 605,95.09,4.25
1400,EDUC-L 630,97.72,2.28
1401,EDUC-L 650,99.17,0.83
1402,EDUC-L 690,100.0,0.0
1403,EDUC-L 700,96.42,3.58
1404,EDUC-L 750,95.09,3.49
1405,EDUC-L 795,,
1406,EDUC-L 799,,
1407,EDUC-M 101,,
1408,EDUC-M 130,73.88,22.84
1409,EDUC-M 135,82.46,13.35
1410,EDUC-M 200,75.99,16.23
1411,EDUC-M 201,,
1412,EDUC-M 202,,
1413,EDUC-M 300,72.21,20.14
1414,EDUC-M 301,100.0,0.0
1415,EDUC-M 302,100.0,0.0
1416,EDUC-M 303,91.27,7.74
1417,EDUC-M 323,90.61,7.19
1418,EDUC-M 330,85.53,13.99
1419,EDUC-M 333,92.0,6.39
1420,EDUC-M 334,,
1421,EDUC-M 342,88.74,7.58
1422,EDUC-M 343,82.58,15.42
1423,EDUC-M 344,,
1424,EDUC-M 401,,
1425,EDUC-M 403,96.7,2.87
1426,EDUC-M 411,72.9,20.85
1427,EDUC-M 416,89.77,9.51
1428,EDUC-M 420,,
1429,EDUC-M 421,80.67,17.71
1430,EDUC-M 422,80.77,16.76
1431,EDUC-M 424,,
1432,EDUC-M 425,,
1433,EDUC-M 427,,
1434,EDUC-M 434,80.33,14.21
1435,EDUC-M 436,75.0,25.0
1436,EDUC-M 441,98.77,1.23
1437,EDUC-M 445,82.34,16.76
1438,EDUC-M 446,74.55,20.26
1439,EDUC-M 456,28.79,55.29
1440,EDUC-M 464,82.04,15.06
1441,EDUC-M 469,85.76,12.33
1442,EDUC-M 470,,
1443,EDUC-M 480,,
1444,EDUC-M 482,,
1445,EDUC-M 500,,
1446,EDUC-M 501,79.25,20.8
1447,EDUC-M 502,,
1448,EDUC-M 522,100.0,0.0
1449,EDUC-M 550,98.9,0.96
1450,EDUC-M 580,,
1451,EDUC-M 590,,
1452,EDUC-M 680,,
1453,EDUC-N 101,60.22,30.04
1454,EDUC-N 103,41.46,38.99
1455,EDUC-N 310,90.78,5.65
1456,EDUC-N 517,100.0,0.0
1457,EDUC-N 518,,
1458,EDUC-N 590,100.0,0.0
1459,EDUC-N 610,100.0,0.0
1460,EDUC-N 716,93.07,6.93
1461,EDUC-N 717,100.0,0.0
1462,EDUC-P 248,59.32,31.39
1463,EDUC-P 250,67.3,28.97
1464,EDUC-P 251,62.93,28.35
1465,EDUC-P 254,61.73,27.94
1466,EDUC-P 312,60.14,30.04
1467,EDUC-P 313,61.59,30.73
1468,EDUC-P 513,100.0,0.0
1469,EDUC-P 515,93.99,4.97
1470,EDUC-P 517,89.59,6.31
1471,EDUC-P 540,89.64,8.95
1472,EDUC-P 574,87.65,10.11
1473,EDUC-P 590,83.3,16.7
1474,EDUC-P 596,100.0,0.0
1475,EDUC-P 601,88.91,11.09
1476,EDUC-P 624,94.2,5.81
1477,EDUC-P 625,98.48,1.52
1478,EDUC-P 650,97.71,2.29
1479,EDUC-P 655,79.94,20.06
1480,EDUC-P 656,97.3,2.7
1481,EDUC-P 670,95.38,4.62
1482,EDUC-P 674,92.1,6.3
1483,EDUC-P 680,92.02,7.98
1484,EDUC-P 682,94.75,5.26
1485,EDUC-P 690,100.0,0.0
1486,EDUC-P 696,93.8,6.2
1487,EDUC-P 697,100.0,0.0
1488,EDUC-P 699,,
1489,EDUC-P 795,,
1490,EDUC-P 799,,
1491,EDUC-Q 200,60.11,29.9
1492,EDUC-Q 405,88.06,10.32
1493,EDUC-Q 490,,
1494,EDUC-Q 506,70.8,29.2
1495,EDUC-Q 515,86.48,11.85
1496,EDUC-Q 528,67.25,16.1
1497,EDUC-Q 590,97.62,2.38
1498,EDUC-Q 601,94.28,5.72
1499,EDUC-Q 612,88.89,9.77
1500,EDUC-Q 690,,
1501,EDUC-R 341,86.93,9.93
1502,EDUC-R 505,,
1503,EDUC-R 511,88.95,9.86
1504,EDUC-R 521,93.94,5.89
1505,EDUC-R 541,89.02,9.02
1506,EDUC-R 546,97.76,1.81
1507,EDUC-R 586,100.0,0.0
1508,EDUC-R 590,100.0,0.0
1509,EDUC-R 621,93.06,6.65
1510,EDUC-R 625,73.44,23.44
1511,EDUC-R 641,77.8,22.2
1512,EDUC-R 685,93.64,5.77
1513,EDUC-R 686,,
1514,EDUC-R 690,95.17,2.87
1515,EDUC-R 695,97.28,2.26
1516,EDUC-R 699,,
1517,EDUC-R 711,84.87,13.12
1518,EDUC-R 741,,
1519,EDUC-R 795,100.0,0.0
1520,EDUC-R 799,,
1521,EDUC-S 303,89.32,9.75
1522,EDUC-S 400,,
1523,EDUC-S 490,,
1524,EDUC-S 500,81.45,11.35
1525,EDUC-S 508,100.0,0.0
1526,EDUC-S 519,77.6,20.61
1527,EDUC-S 555,87.65,10.38
1528,EDUC-S 590,82.34,14.34
1529,EDUC-S 599,,
1530,EDUC-S 650,,
1531,EDUC-S 690,,
1532,EDUC-T 450,,
1533,EDUC-T 550,95.78,4.22
1534,EDUC-T 590,,
1535,EDUC-U 206,68.79,20.97
1536,EDUC-U 207,74.65,14.56
1537,EDUC-U 208,97.46,2.19
1538,EDUC-U 212,62.52,19.96
1539,EDUC-U 215,63.38,27.0
1540,EDUC-U 300,85.7,0.0
1541,EDUC-U 310,100.0,0.0
1542,EDUC-U 495,88.87,6.95
1543,EDUC-U 548,93.86,5.93
1544,EDUC-U 549,92.26,7.74
1545,EDUC-U 559,95.62,4.38
1546,EDUC-U 560,100.0,0.0
1547,EDUC-U 590,,
1548,EDUC-U 599,,
1549,EDUC-W 200,64.17,23.01
1550,EDUC-W 210,75.38,22.7
1551,EDUC-W 410,,
1552,EDUC-W 435,75.43,17.66
1553,EDUC-W 500,,
1554,EDUC-W 505,97.15,2.15
1555,EDUC-X 101,45.66,29.04
1556,EDUC-X 150,57.5,23.54
1557,EDUC-X 152,72.27,18.27
1558,EDUC-X 156,69.13,12.3
1559,EDUC-X 157,74.2,8.54
1560,EDUC-X 158,40.72,33.22
1561,EDUC-X 159,76.38,13.29
1562,EDUC-X 400,,
1563,EDUC-X 425,87.48,8.35
1564,EDUC-X 460,89.63,9.15
1565,EDUC-X 470,84.93,13.15
1566,EDUC-X 599,92.3,7.7
1567,EDUC-Y 500,,
1568,EDUC-Y 502,68.52,28.66
1569,EDUC-Y 515,100.0,0.0
1570,EDUC-Y 520,86.63,11.46
1571,EDUC-Y 521,86.6,12.78
1572,EDUC-Y 527,71.9,25.94
1573,EDUC-Y 590,100.0,0.0
1574,EDUC-Y 603,67.71,31.34
1575,EDUC-Y 604,64.63,30.4
1576,EDUC-Y 611,95.52,3.88
1577,EDUC-Y 613,99.38,0.62
1578,EDUC-Y 631,100.0,0.0
1579,EDUC-Y 650,95.91,3.77
1580,EDUC-Y 660,100.0,0.0
1581,EDUC-Y 690,,
1582,EDUC-Y 795,,
1583,EDUC-Y 799,,
1584,EDUC-Z 305,,
1585,EDUC-Z 531,96.25,3.75
1586,EDUC-Z 533,91.96,6.26
1587,EDUC-Z 550,91.26,7.45
1588,EDUC-Z 590,,
1589,EDUC-Z 700,100.0,0.0
1590,EDUC-Z 750,78.55,21.45
1591,ENG-G 208,33.82,55.56
1592,ENG-G 655,,
1593,ENG-G 660,,
1594,ENG-G 901,,
1595,ENG-J 102,11.74,52.74
1596,ENG-L 111,49.89,40.54
1597,ENG-L 112,42.68,42.62
1598,ENG-L 203,49.3,36.66
1599,ENG-L 204,37.63,45.91
1600,ENG-L 205,35.03,47.95
1601,ENG-L 206,35.17,56.37
1602,ENG-L 207,54.04,37.02
1603,ENG-L 214,57.6,38.7
1604,ENG-L 220,54.19,32.33
1605,ENG-L 223,43.69,41.34
1606,ENG-L 224,36.06,50.34
1607,ENG-L 230,32.86,51.96
1608,ENG-L 249,24.29,46.44
1609,ENG-L 260,44.08,39.16
1610,ENG-L 295,44.76,49.14
1611,ENG-L 307,36.4,60.6
1612,ENG-L 310,28.0,46.45
1613,ENG-L 312,33.38,41.29
1614,ENG-L 314,47.99,42.78
1615,ENG-L 316,50.76,35.0
