,COURSE,A%,B%
186,ARTH-A 200,50.45,30.9
187,ARTH-A 206,41.6,43.53
188,ARTH-A 207,85.0,15.0
189,ARTH-A 220,34.83,40.8
190,ARTH-A 231,52.2,24.4
191,ARTH-A 255,,
192,ARTH-A 280,35.37,44.43
193,ARTH-A 290,13.27,63.93
194,ARTH-A 300,66.26,30.74
195,ARTH-A 315,45.8,41.7
196,ARTH-A 327,,
197,ARTH-A 336,48.5,36.4
198,ARTH-A 342,31.7,43.9
199,ARTH-A 375,60.0,30.0
200,ARTH-A 400,70.83,29.17
201,ARTH-A 410,29.37,65.87
202,ARTH-A 414,,
203,ARTH-A 490,65.2,26.68
204,ARTH-A 501,100.0,0.0
205,ARTH-A 510,83.3,16.7
206,ARTH-A 580,93.75,6.25
207,ARTH-A 595,,
208,ARTH-A 635,,
209,ARTH-A 640,86.48,13.52
210,ARTH-A 650,100.0,0.0
211,ARTH-A 775,,
212,ARTH-A 779,,
213,ARTH-A 879,,
214,ARTH-G 901,,
215,ARTH-H 100,49.37,29.3
216,ARTH-X 376,,
217,ARTH-X 491,,
218,ASCS-Q 294,0.0,0.0
219,ASCS-Q 295,,
220,ASCS-Q 296,,
221,ASCS-X 373,,
222,ASCS-X 375,,
223,AST-A 100,36.33,39.0
224,AST-A 103,46.97,37.42
225,AST-A 105,32.22,34.85
226,AST-A 107,24.3,42.34
227,AST-A 115,36.05,34.5
228,AST-A 221,37.03,35.82
229,AST-A 305,48.8,40.2
230,AST-A 580,67.5,32.5
231,AST-A 780,,
232,AST-A 890,,
233,AST-A 899,,
234,AST-G 901,,
235,AST-S 499,,
236,AST-X 299,,
237,AST-X 390,,
238,AST-X 399,100.0,0.0
239,BIOC-B 511,51.6,39.9
240,BIOC-B 522,,
241,BIOC-B 524,,
242,BIOC-B 530,40.77,56.77
243,BIOC-B 531,46.8,47.33
244,BIOC-B 580,93.51,6.49
245,BIOC-B 600,,
246,BIOC-B 680,85.14,13.99
247,BIOC-B 880,,
248,BIOC-G 599,,
249,BIOC-G 901,,
250,BIOL-B 371,52.59,32.1
251,BIOL-G 599,,
252,BIOL-G 901,99.12,0.88
253,BIOL-H 111,77.55,18.67
254,BIOL-L 104,44.26,29.51
255,BIOL-L 111,34.71,29.56
256,BIOL-L 112,38.49,32.32
257,BIOL-L 113,63.81,28.6
258,BIOL-L 211,35.91,32.5
259,BIOL-L 307,35.0,49.28
260,BIOL-L 311,37.21,33.2
261,BIOL-L 312,34.83,33.96
262,BIOL-L 313,78.35,20.43
263,BIOL-L 318,31.65,38.14
264,BIOL-L 319,45.21,37.33
265,BIOL-L 322,68.64,20.75
266,BIOL-L 323,92.78,7.04
267,BIOL-L 326,86.73,13.27
268,BIOL-L 331,70.03,25.02
269,BIOL-L 340,40.41,29.79
270,BIOL-L 350,54.75,29.38
271,BIOL-L 376,46.72,35.12
272,BIOL-L 412,87.88,8.7
273,BIOL-L 473,29.58,39.15
274,BIOL-L 474,58.64,34.08
275,BIOL-L 485,,
276,BIOL-L 500,92.46,7.54
277,BIOL-L 501,83.3,16.7
278,BIOL-L 523,90.1,9.9
279,BIOL-L 567,87.23,11.19
280,BIOL-L 570,97.02,2.43
281,BIOL-L 577,100.0,0.0
282,BIOL-L 585,66.99,32.11
283,BIOL-L 800,,
284,BIOL-M 250,36.5,36.66
285,BIOL-M 315,51.72,42.2
286,BIOL-M 380,47.81,44.24
287,BIOL-M 440,43.39,39.29
288,BIOL-M 445,62.56,34.89
289,BIOL-M 465,47.28,40.2
290,BIOL-M 480,45.95,40.08
291,BIOL-M 485,56.29,35.0
292,BIOL-M 500,96.78,3.22
293,BIOL-M 550,49.26,37.65
294,BIOL-M 585,93.75,6.25
295,BIOL-M 800,100.0,0.0
296,BIOL-P 451,44.91,49.31
297,BIOL-Q 201,28.79,39.21
298,BIOL-S 211,61.67,26.32
299,BIOL-S 318,70.49,27.01
300,BIOL-T 583,,
301,BIOL-X 325,,
302,BIOL-X 371,,
303,BIOL-X 473,,
304,BIOL-X 490,98.8,1.2
305,BIOL-Z 373,61.36,26.01
306,BIOL-Z 375,39.44,40.26
307,BIOL-Z 460,49.1,34.84
308,BIOL-Z 476,39.75,35.67
309,BIOL-Z 620,94.59,5.0
310,BIOT-T 301,84.87,12.04
311,BIOT-T 310,35.23,44.42
312,BIOT-T 315,55.15,35.27
313,BIOT-T 322,61.28,29.85
314,BIOT-T 425,77.47,20.3
315,BIOT-T 500,94.72,5.28
316,BIOT-T 501,79.67,20.33
317,BIOT-T 502,88.38,11.62
318,BIOT-T 508,45.2,51.15
319,BIOT-T 521,88.93,11.07
320,BIOT-T 525,,
321,BIOT-T 590,,
322,BIOT-X 371,,
323,BIOT-X 498,88.52,11.48
324,BIOT-X 499,,
325,BUS-A 100,41.67,31.11
326,BUS-A 200,26.05,51.72
327,BUS-A 201,30.27,37.34
328,BUS-A 202,27.59,41.71
329,BUS-A 205,49.78,49.24
330,BUS-A 303,71.14,26.25
331,BUS-A 310,27.64,48.79
332,BUS-A 311,28.98,48.01
333,BUS-A 312,30.47,45.63
334,BUS-A 324,51.37,40.34
335,BUS-A 325,32.16,50.73
336,BUS-A 327,29.97,42.05
337,BUS-A 329,28.73,45.97
338,BUS-A 337,66.93,30.55
339,BUS-A 355,,
340,BUS-A 422,38.13,42.37
341,BUS-A 424,32.27,56.51
342,BUS-A 437,54.19,39.96
343,BUS-A 490,,
344,BUS-A 504,42.5,53.65
345,BUS-A 509,72.58,27.42
346,BUS-A 514,51.32,48.68
347,BUS-A 527,60.32,39.41
348,BUS-A 531,61.12,35.47
349,BUS-A 537,46.72,45.18
350,BUS-A 540,52.19,46.29
351,BUS-A 551,84.57,14.63
352,BUS-A 563,,
353,BUS-A 566,93.75,6.25
354,BUS-A 568,70.73,29.28
355,BUS-A 569,77.32,22.32
356,BUS-A 576,62.18,37.19
357,BUS-A 590,,
358,BUS-A 591,56.89,39.64
359,BUS-A 602,100.0,0.0
360,BUS-A 603,,
361,BUS-BE 232,,
362,BUS-BE 304,,
363,BUS-BE 375,,
364,BUS-BE 504,,
365,BUS-BE 506,,
366,BUS-C 104,62.21,35.05
367,BUS-C 106,81.82,16.94
368,BUS-C 204,62.69,35.06
369,BUS-C 205,91.23,8.7
370,BUS-C 490,90.34,9.66
371,BUS-C 575,97.68,2.32
372,BUS-D 270,43.72,43.21
373,BUS-D 271,48.16,49.09
374,BUS-D 311,58.8,41.2
375,BUS-D 312,42.9,57.1
376,BUS-D 411,,
377,BUS-D 490,,
378,BUS-D 503,83.7,16.3
379,BUS-D 504,,
380,BUS-D 590,,
381,BUS-F 255,,
382,BUS-F 260,34.21,46.49
383,BUS-F 262,,
384,BUS-F 300,22.76,55.86
385,BUS-F 303,30.9,47.52
386,BUS-F 304,49.29,48.49
387,BUS-F 305,26.38,54.0
388,BUS-F 307,27.18,57.1
389,BUS-F 317,37.35,50.77
390,BUS-F 335,29.97,45.42
391,BUS-F 355,50.8,47.7
392,BUS-F 365,30.85,50.88
393,BUS-F 370,21.69,52.02
394,BUS-F 390,,
395,BUS-F 402,21.95,54.95
396,BUS-F 419,21.26,66.0
397,BUS-F 420,31.66,56.86
398,BUS-F 421,38.6,36.4
399,BUS-F 424,18.2,72.7
400,BUS-F 428,98.01,1.21
401,BUS-F 429,100.0,0.0
402,BUS-F 446,23.16,50.76
403,BUS-F 455,70.35,24.31
404,BUS-F 490,85.7,14.3
405,BUS-F 494,22.85,51.95
406,BUS-F 507,75.03,24.97
407,BUS-F 508,54.63,45.38
408,BUS-F 517,54.17,45.83
409,BUS-F 520,47.32,52.4
410,BUS-F 525,75.76,24.05
411,BUS-F 526,51.72,47.62
412,BUS-F 540,48.67,51.34
413,BUS-F 541,54.44,40.92
414,BUS-F 546,52.39,47.5
415,BUS-F 548,53.81,45.7
416,BUS-F 550,93.78,5.28
417,BUS-F 590,,
418,BUS-F 600,63.6,36.4
419,BUS-G 202,37.41,40.73
420,BUS-G 300,32.07,52.63
421,BUS-G 303,39.28,46.15
422,BUS-G 304,32.67,52.96
423,BUS-G 316,54.36,36.48
424,BUS-G 345,29.89,52.14
425,BUS-G 350,34.33,53.79
426,BUS-G 400,68.84,30.29
427,BUS-G 406,41.01,50.29
428,BUS-G 456,62.24,36.99
429,BUS-G 490,,
430,BUS-G 492,40.11,51.37
431,BUS-G 494,33.53,59.96
432,BUS-G 540,48.02,51.98
433,BUS-G 570,55.54,44.46
434,BUS-G 590,,
435,BUS-G 593,62.48,37.52
436,BUS-G 651,100.0,0.0
437,BUS-G 750,62.5,33.33
438,BUS-G 901,,
439,BUS-I 304,99.33,0.67
440,BUS-I 513,,
441,BUS-I 535,,
442,BUS-I 541,,
443,BUS-I 547,,
444,BUS-I 548,,
445,BUS-I 565,,
446,BUS-I 575,,
447,BUS-I 576,,
448,BUS-J 304,98.12,1.78
449,BUS-J 306,53.78,40.04
450,BUS-J 375,50.67,44.76
451,BUS-J 420,80.76,18.64
452,BUS-J 501,54.98,43.12
453,BUS-J 540,77.25,22.75
454,BUS-K 160,46.48,33.65
455,BUS-K 201,32.98,33.5
456,BUS-K 204,79.6,17.82
457,BUS-K 303,76.1,20.36
458,BUS-K 304,78.52,21.05
459,BUS-K 315,66.9,30.68
460,BUS-K 327,62.79,31.23
461,BUS-K 353,46.59,50.23
462,BUS-K 360,76.35,17.73
463,BUS-K 490,,
464,BUS-K 507,56.1,42.67
465,BUS-K 513,66.98,32.77
466,BUS-K 529,96.68,2.29
467,BUS-K 590,,
468,BUS-K 601,,
469,BUS-K 602,,
470,BUS-K 635,,
471,BUS-L 100,54.45,32.61
472,BUS-L 201,29.03,47.76
473,BUS-L 293,62.42,36.29
474,BUS-L 305,66.5,32.17
475,BUS-L 310,100.0,0.0
476,BUS-L 311,72.68,24.7
477,BUS-L 312,56.98,42.09
478,BUS-L 314,94.02,5.04
479,BUS-L 355,92.52,7.48
480,BUS-L 356,45.93,49.27
481,BUS-L 375,56.27,41.43
482,BUS-L 376,76.39,22.57
483,BUS-L 408,64.27,34.22
484,BUS-L 490,100.0,0.0
485,BUS-L 521,59.06,40.74
486,BUS-L 540,55.63,43.99
487,BUS-L 541,59.61,36.2
488,BUS-L 560,78.54,21.46
489,BUS-L 561,,
490,BUS-L 590,,
